instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,141,0.159124,0.15264,-0.00509972,-0.0076557,0.00309759,-6.74778e-05,1.5337e-07
PART-1-1,142,0.152744,0.153657,0.0109729,-0.00718541,0.00413726,-6.74807e-05,2.15506e-05
PART-1-1,143,0.160313,0.154293,-0.00529191,-0.00667741,-0.001794,-7.30843e-05,9.77638e-07
PART-1-1,144,0.156282,0.153659,0.00400738,-0.00840087,0.00240673,-7.03486e-05,1.56811e-05
PART-1-1,145,0.158429,0.154457,-0.00253486,-0.00526122,-0.00243805,-7.3003e-05,2.09813e-06
PART-1-1,146,0.158991,0.153348,-0.000714324,-0.0100079,0.00286617,-7.06675e-05,1.29059e-05
PART-1-1,147,0.156877,0.154917,-0.000306924,-0.00347054,-0.0022128,-7.17588e-05,1.06224e-06
PART-1-1,148,0.163124,0.154517,-0.00452206,-0.0119978,0.00486784,-7.01417e-05,1.17853e-05
PART-1-1,149,0.155425,0.156869,0.004361,-0.00124833,-0.0019142,-7.05653e-05,1.62381e-06
PART-1-1,150,0.148865,0.144905,0.0100845,-0.0144564,0.00494319,-6.80809e-05,3.50724e-05
PART-1-1,151,0.09305,0.105725,0.0361944,0.00152763,-0.00840003,-5.48748e-05,3.55895e-05
PART-1-1,152,0.0986417,0.0448343,-0.06438,-0.0177646,0.0154971,-1.80668e-05,-5.11805e-05
PART-1-1,153,0.0558577,0.0382754,0.0486968,0.00373384,-0.0220482,-4.18189e-05,5.1983e-05
PART-1-1,154,0.104797,0.0414059,-0.0758496,-0.0168865,0.0149525,-1.61471e-05,-6.58582e-05
PART-1-1,155,0.0732138,0.0828806,0.0286531,0.000439225,-0.00558678,-4.5407e-05,2.72303e-05
PART-1-1,156,0.123827,0.11901,0.00554493,-0.0130313,0.00140304,-6.02168e-05,2.84601e-05
PART-1-1,157,0.126957,0.12908,0.00806681,-0.00307821,0.000551488,-5.85378e-05,8.55151e-06
PART-1-1,158,0.13649,0.130341,-0.00236955,-0.00963183,-0.000490619,-6.47799e-05,1.19775e-05
PART-1-1,159,0.131821,0.131003,0.00580593,-0.00649033,-0.00198785,-6.47024e-05,1.43125e-05
PART-1-1,160,0.124841,0.125994,0.0115615,-0.0060104,-0.00754927,-6.93946e-05,2.40848e-05
PART-1-1,161,0.129051,0.124012,0.0287637,-0.0106481,-0.0275355,-9.537e-05,6.03437e-05
PART-1-1,162,0.140472,0.0262576,0.127202,-0.000896053,-0.0449597,-6.87819e-05,0.000168982
PART-1-1,163,0.372705,-0.378725,-0.0204724,-0.0160648,0.0546673,0.000199175,-2.57853e-05
PART-1-1,164,0.814228,-0.798163,0.0333865,-0.00247911,-0.00321523,0.000316144,4.69416e-05
PART-1-1,165,0.945081,-1.02811,-0.183577,-0.00734538,0.00390068,0.000415169,-0.000219799
PART-1-1,166,0.898857,-0.998062,-0.220052,-0.0147124,-0.0155262,0.000370969,-0.00022855
PART-1-1,167,0.763937,-0.708228,0.0869231,0.0051164,-0.0568361,0.000216726,0.000105862
PART-1-1,168,0.209064,-0.212656,-0.0932684,-0.0203379,-0.0717131,-2.04742e-05,-4.52295e-05
PART-1-1,169,0.198391,0.13015,0.207881,0.00236192,0.0484899,-3.66338e-06,0.000214208
PART-1-1,170,0.134401,0.110834,-0.00907047,-0.0115767,0.0335651,-1.53811e-05,1.8465e-06
