instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,119,1.96167,2.00548,-0.0276141,0.127363,-0.00778345,-0.00157719,0.0431387
PART-1-1,120,1.96049,2.00061,0.0135746,0.0714382,0.00596423,0.00631889,0.0468754
PART-1-1,121,1.94584,1.99457,-0.00170406,0.106547,-0.00595231,-0.00251204,0.0426147
PART-1-1,122,1.95694,1.99759,-0.00123628,0.0890784,-0.00294619,0.00443459,0.0468928
PART-1-1,123,1.95292,1.99724,0.000120972,0.0947773,-0.00197004,0.00020936,0.042857
PART-1-1,124,1.95245,1.99674,0.000416063,0.0949694,-0.00241763,0.0015938,0.0467059
PART-1-1,125,1.95347,1.99724,-0.000569689,0.094409,-0.00243286,0.00301293,0.0428426
PART-1-1,126,1.95583,1.99759,0.000202842,0.0897816,-0.00193689,-0.00127851,0.0469229
PART-1-1,127,1.94756,1.99459,-0.00403839,0.105581,0.00164067,0.00580545,0.0425707
PART-1-1,128,1.95824,2.00061,0.0169714,0.0725403,-0.010955,-0.00325765,0.0469115
PART-1-1,129,1.96473,2.00545,-0.0323539,0.126323,0.00363445,0.00506654,0.0431164
PART-1-1,130,1.92798,1.93663,-0.0280707,0.0582759,0.0650054,0.00326847,0.0465751
PART-1-1,131,1.9746,2.1425,0.371092,0.11278,-0.278126,-0.00747842,0.0391618
PART-1-1,132,2.7963,1.99715,-1.08795,0.118163,0.430837,0.0147611,0.0584582
PART-1-1,133,1.54877,0.804204,0.748444,0.0556305,0.790304,0.00526108,0.0323741
PART-1-1,134,1.54505,0.796347,0.773937,0.0525056,-0.78479,0.00400338,-0.0277661
PART-1-1,135,2.80429,1.99107,-1.09898,0.119385,-0.441302,0.0131718,-0.0612744
PART-1-1,136,1.9716,2.14393,0.379267,0.113092,0.275642,-0.00828794,-0.0386951
PART-1-1,137,1.93187,1.9359,-0.0345338,0.0569467,-0.0702664,0.00343921,-0.0467979
PART-1-1,138,1.9609,2.00544,-0.0269627,0.128235,-0.00779963,0.00462217,-0.043128
PART-1-1,139,1.96148,2.00063,0.0126729,0.0703381,0.00605139,-0.00317806,-0.046917
PART-1-1,140,1.94461,1.99456,-0.000542454,0.107887,-0.0059512,0.0055861,-0.0425576
PART-1-1,141,1.95848,1.9976,-0.00271517,0.0874701,-0.00281713,-0.00132796,-0.046984
PART-1-1,142,1.95102,1.99723,0.00203105,0.0966816,-0.0020571,0.00288805,-0.0427521
PART-1-1,143,1.95484,1.99675,-0.00208704,0.0927287,-0.00215707,0.00150222,-0.0468461
PART-1-1,144,1.95046,1.99724,0.00276034,0.0970268,-0.0027038,8.53431e-05,-0.0426797
PART-1-1,145,1.95965,1.99759,-0.00425801,0.0867344,-0.00143299,0.00439118,-0.0471359
PART-1-1,146,1.94266,1.99459,0.00196844,0.109112,0.00105283,-0.00273611,-0.0423079
PART-1-1,147,1.96432,2.00053,0.00895598,0.0684595,-0.0100661,0.0064718,-0.0473104
PART-1-1,148,1.95668,2.00551,-0.0216231,0.131025,0.00250241,-0.00206445,-0.0425616
PART-1-1,149,1.93737,1.9358,-0.042087,0.0528679,0.0667084,0.000395143,-0.0477179
PART-1-1,150,1.96517,2.14283,0.390667,0.118964,-0.281292,0.0105661,-0.0375115
PART-1-1,151,2.81375,1.98966,-1.11401,0.111174,0.437097,-0.00693843,-0.0648996
PART-1-1,152,1.53523,0.79622,0.791849,0.0633983,0.779264,-0.00229059,-0.0209496
