instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,112,23.3715,23.4312,0.0631612,0.0651945,-0.264856,-0.000230861,-0.00072928
PART-1-1,113,38.4019,-38.5017,-0.127018,-0.0877961,0.441121,0.000322692,-0.00541644
PART-1-1,114,38.4019,-38.5017,-0.127018,-0.0877961,0.441121,-0.000321842,0.00541644
PART-1-1,115,85.1586,85.1905,0.0983859,-0.00624833,-0.893164,0.00116999,-0.00100986
PART-1-1,116,85.1586,85.1905,0.0983859,-0.00624833,-0.893164,-0.00117059,0.00100986
PART-1-1,117,23.471,23.4086,-0.111295,-0.00483325,-0.255638,4.43508e-05,0.00935631
PART-1-1,118,23.471,23.4086,-0.111295,-0.00483325,-0.255638,-4.42135e-05,-0.00935631
PART-1-1,119,38.5544,-38.4948,0.0894635,0.0165019,0.411454,-0.00158252,0.0013709
PART-1-1,120,38.5544,-38.4948,0.0894635,0.0165019,0.411454,0.00158339,-0.0013709
PART-1-1,121,85.2043,85.1564,-0.0397276,-0.0313099,-0.836648,-0.00327595,-0.0123642
PART-1-1,122,85.2043,85.1564,-0.0397275,-0.0313099,-0.836648,0.00327533,0.0123642
PART-1-1,123,23.3612,23.4301,0.0757658,0.0682821,-0.221224,-0.000441663,0.000677775
PART-1-1,124,23.3612,23.4301,0.0757658,0.0682821,-0.221224,0.000441802,-0.000677778
PART-1-1,125,38.3961,-38.5029,-0.13958,-0.0848201,0.37027,0.00397056,-0.00535493
PART-1-1,126,38.3961,-38.5029,-0.13958,-0.0848201,0.37027,-0.00396967,0.00535493
PART-1-1,127,85.1354,85.187,0.115828,0.00656558,-0.736187,0.00655179,0.00066096
PART-1-1,128,85.1354,85.187,0.115828,0.00656558,-0.736187,-0.00655242,-0.00066096
PART-1-1,129,23.4829,23.4118,-0.128871,-0.00720426,-0.207934,0.00144406,0.0095382
PART-1-1,130,23.4829,23.4118,-0.128871,-0.00720425,-0.207934,-0.00144392,-0.0095382
PART-1-1,131,38.5565,-38.4963,0.105299,0.00600572,0.337983,-0.0079813,0.00132834
PART-1-1,132,38.5565,-38.4963,0.105299,0.00600572,0.337983,0.00798221,-0.00132834
PART-1-1,133,85.2382,85.166,-0.0717498,-0.0567212,-0.67104,-0.0118077,-0.0143553
PART-1-1,134,85.2382,85.166,-0.0717498,-0.0567212,-0.67104,0.0118071,0.0143553
PART-1-1,135,23.3511,23.4294,0.092591,0.0683927,-0.187626,-0.00269365,0.000183566
PART-1-1,136,23.3511,23.4294,0.092591,0.0683927,-0.187626,0.00269379,-0.00018357
PART-1-1,137,38.4024,-38.5042,-0.149859,-0.061258,0.303166,0.0136682,-0.00538504
PART-1-1,138,38.4024,-38.5042,-0.149859,-0.061258,0.303166,-0.0136672,0.00538504
PART-1-1,139,85.0957,85.1874,0.145583,0.0504755,-0.598047,0.0188988,0.00295937
PART-1-1,140,85.0957,85.1874,0.145583,0.0504755,-0.598047,-0.0188994,-0.00295937
PART-1-1,141,23.4851,23.4093,-0.145026,-0.00296056,-0.150909,0.00435214,0.0105677
PART-1-1,142,23.4851,23.4093,-0.145026,-0.00296056,-0.150909,-0.00435199,-0.0105677
PART-1-1,143,38.5366,-38.4961,0.112403,-0.0372317,0.261425,-0.0210474,0.00158853
PART-1-1,144,38.5366,-38.4961,0.112403,-0.0372317,0.261425,0.0210484,-0.00158853
PART-1-1,145,85.2775,85.1624,-0.0981752,-0.124199,-0.469481,-0.0283023,-0.0172226
PART-1-1,146,85.2775,85.1624,-0.0981752,-0.124199,-0.469481,0.0283016,0.0172226
PART-1-1,147,23.38,23.4506,0.0876953,0.0568206,-0.160013,-0.00560541,-0.00146242
PART-1-1,148,23.38,23.4506,0.0876953,0.0568206,-0.160013,0.00560555,0.00146241
PART-1-1,149,38.4439,-38.515,-0.155677,0.00872643,0.229851,0.0293188,-0.00631112
PART-1-1,150,38.4439,-38.515,-0.155677,0.00872643,0.229851,-0.0293178,0.00631112
PART-1-1,151,85.0583,85.1974,0.145454,0.142152,-0.517937,0.0395429,0.00772077
PART-1-1,152,85.0583,85.1974,0.145454,0.142152,-0.517936,-0.0395436,-0.00772077
PART-1-1,153,23.4228,23.3914,-0.0817289,0.0202139,-0.0914793,0.00555717,0.0122039
PART-1-1,154,23.4228,23.3914,-0.0817289,0.0202139,-0.0914793,-0.00555702,-0.0122039
PART-1-1,155,38.4919,-38.4895,0.140186,-0.140178,0.204383,-0.0368789,0.00420847
PART-1-1,156,38.4919,-38.4895,0.140186,-0.140178,0.204383,0.0368799,-0.00420847
PART-1-1,157,85.313,85.2015,0.0117095,-0.231503,-0.271325,-0.05237,-0.0277865
PART-1-1,158,85.313,85.2015,0.0117095,-0.231503,-0.271325,0.0523693,0.0277865
PART-1-1,159,23.3129,23.3462,0.0514237,0.0174659,-0.126571,-0.00206077,-0.000678267
PART-1-1,160,23.3129,23.3462,0.0514237,0.0174659,-0.126571,0.00206092,0.000678263
PART-1-1,161,38.4535,-38.4586,-0.161996,0.146748,0.198992,0.0405204,-0.0125441
PART-1-1,162,38.4535,-38.4586,-0.161996,0.146748,0.198993,-0.0405194,0.0125441
