instance,element_id,node_ids
PART-1-1,253,205 652 684 196 206 651 683 195
PART-1-1,254,652 292 237 684 651 291 238 683
PART-1-1,255,204 653 685 197 205 652 684 196
PART-1-1,256,653 293 236 685 652 292 237 684
PART-1-1,257,203 654 686 198 204 653 685 197
PART-1-1,258,654 294 235 686 653 293 236 685
PART-1-1,259,202 655 687 199 203 654 686 198
PART-1-1,260,655 295 234 687 654 294 235 686
PART-1-1,261,201 656 688 200 202 655 687 199
PART-1-1,262,656 296 233 688 655 295 234 687
PART-1-1,263,16 167 168 15 201 656 688 200
PART-1-1,264,167 13 14 168 656 296 233 688
PART-1-1,331,133 561 625 232 2 25 165 9
PART-1-1,332,561 100 265 625 25 1 10 165
PART-1-1,333,134 562 626 231 133 561 625 232
PART-1-1,334,562 99 266 626 561 100 265 625
PART-1-1,335,135 563 627 230 134 562 626 231
PART-1-1,336,563 98 267 627 562 99 266 626
PART-1-1,337,136 564 628 229 135 563 627 230
PART-1-1,338,564 97 268 628 563 98 267 627
PART-1-1,339,137 565 629 228 136 564 628 229
PART-1-1,340,565 96 269 629 564 97 268 628
PART-1-1,341,138 566 630 227 137 565 629 228
PART-1-1,342,566 95 270 630 565 96 269 629
PART-1-1,343,139 567 631 226 138 566 630 227
PART-1-1,344,567 94 271 631 566 95 270 630
PART-1-1,345,140 568 632 225 139 567 631 226
PART-1-1,346,568 93 272 632 567 94 271 631
PART-1-1,347,141 569 633 224 140 568 632 225
PART-1-1,348,569 92 273 633 568 93 272 632
PART-1-1,349,142 570 634 223 141 569 633 224
PART-1-1,350,570 91 274 634 569 92 273 633
PART-1-1,351,143 571 635 222 142 570 634 223
PART-1-1,352,571 90 275 635 570 91 274 634
PART-1-1,353,144 572 636 221 143 571 635 222
PART-1-1,354,572 89 276 636 571 90 275 635
PART-1-1,355,145 573 637 220 144 572 636 221
PART-1-1,356,573 88 277 637 572 89 276 636
PART-1-1,357,146 574 638 219 145 573 637 220
PART-1-1,358,574 87 278 638 573 88 277 637
PART-1-1,359,147 575 639 218 146 574 638 219
PART-1-1,360,575 86 279 639 574 87 278 638
PART-1-1,361,148 576 640 217 147 575 639 218
PART-1-1,362,576 85 280 640 575 86 279 639
PART-1-1,363,149 577 641 216 148 576 640 217
PART-1-1,364,577 84 281 641 576 85 280 640
PART-1-1,365,150 578 642 215 149 577 641 216
PART-1-1,366,578 83 282 642 577 84 281 641
PART-1-1,367,151 579 643 214 150 578 642 215
PART-1-1,368,579 82 283 643 578 83 282 642
PART-1-1,369,152 580 644 213 151 579 643 214
PART-1-1,370,580 81 284 644 579 82 283 643
PART-1-1,371,153 581 645 212 152 580 644 213
PART-1-1,372,581 80 285 645 580 81 284 644
PART-1-1,373,154 582 646 211 153 581 645 212
PART-1-1,374,582 79 286 646 581 80 285 645
PART-1-1,375,155 583 647 210 154 582 646 211
PART-1-1,376,583 78 287 647 582 79 286 646
PART-1-1,377,156 584 648 209 155 583 647 210
PART-1-1,378,584 77 288 648 583 78 287 647
PART-1-1,379,157 585 649 208 156 584 648 209
PART-1-1,380,585 76 289 649 584 77 288 648
PART-1-1,381,158 586 650 207 157 585 649 208
PART-1-1,382,586 75 290 650 585 76 289 649
PART-1-1,383,159 587 651 206 158 586 650 207
PART-1-1,384,587 74 291 651 586 75 290 650
PART-1-1,385,160 588 652 205 159 587 651 206
PART-1-1,386,588 73 292 652 587 74 291 651
PART-1-1,387,161 589 653 204 160 588 652 205
PART-1-1,388,589 72 293 653 588 73 292 652
PART-1-1,389,162 590 654 203 161 589 653 204
PART-1-1,390,590 71 294 654 589 72 293 653
PART-1-1,391,163 591 655 202 162 590 654 203
PART-1-1,392,591 70 295 655 590 71 294 654
PART-1-1,393,164 592 656 201 163 591 655 202
PART-1-1,394,592 69 296 656 591 70 295 655
PART-1-1,395,5 31 167 16 164 592 656 201
PART-1-1,396,31 8 13 167 592 69 296 656
